total,code
445.132,ALB
64.765,DZA
61.27,ATG
1014.077,ARG
1011.732,ARM
35.647,AUS
790.771,AUT
298.052,AZE
48.103,BGD
168.372,BLR
1766.409,BEL
709.218,BLZ
829.262,BOL
1367.343,BIH
37.421,BWA
989.366,BRA
1232.65,BGR
0.168,BDI
0.2,KHM
17.14,CMR
480.365,CAN
917.912,CHL
3.334,CHN
963.074,COL
482.518,CRI
1133.909,HRV
15.274,CUB
1349.241,CZE
311.798,DNK
225.666,DOM
811.764,ECU
84.41,EGY
230.952,SLV
17.684,ETH
2.231,FJI
111.538,FIN
1085.065,FRA
741.507,GEO
564.106,DEU
11.328,GHA
526.525,GRC
294.604,GTM
216.131,GUY
21.048,HTI
340.044,HND
0.7,HKG
1181.013,HUN
110.547,IND
96.087,IDN
322.034,IRQ
529.791,IRL
467.215,ISR
1365.39,ITA
110.092,JAM
34.52,JPN
407.032,JOR
153.967,KAZ
32.248,KEN
212.593,KGZ
521.153,LVA
287.014,LBN
16.608,LBR
247.115,LBY
16.78,MWI
18.692,MYS
1095.517,MEX
0.61,MNG
216.117,MAR
7.967,MOZ
54.641,MMR
67.44,NPL
767.849,NLD
5.184,NZL
25.209,NIC
7.029,NGA
96.103,NOR
50.047,PAK
338.337,PSE
1118.948,PAN
353.03,PRY
1175.852,PER
90.426,PHL
882.695,POL
885.384,PRT
897.769,ROU
445.81,RUS
11.272,RWA
181.795,SAU
31.414,SEN
554.184,SRB
9.653,SLE
4.957,SGP
645.83,SVK
8.18,SOM
631.425,ZAF
25.025,KOR
5.628,SSD
1150.021,ESP
12.609,LKA
36.557,SDN
1022.153,SWE
1015.874,CHE
0.294,TWN
0.352,TZA
1.003,THA
0.3,TLS
8.939,TGO
94.32,TTO
486.521,TUN
286.475,TUR
6.646,UGA
499.545,UKR
75.932,ARE
1326.209,GBR
1205.371,USA
91.832,URY
39.105,VEN
0.36,VNM
52.009,ZWE
1.1,BMU
0.9,PRI
0.5,REU